# Time-averaged data for fix logger
# TimeStep v_time_ps c_sumFobs0 c_sumFmag0 c_sumFobs1 c_sumFmag1 c_sumFobs2 c_sumFmag2 c_sumFobs3 c_sumFmag3 c_sumFobs4 c_sumFmag4 c_sumFobs5 c_sumFmag5 c_sumFobs6 c_sumFmag6 c_sumFobs7 c_sumFmag7 c_sumFobs8 c_sumFmag8 c_sumFobs9 c_sumFmag9
5203 2.6015 -3.31195 379.461 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5204 2.602 -3.32403 379.464 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5205 2.6025 -3.33634 379.467 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5206 2.603 -3.34887 379.47 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5207 2.6035 -3.36161 379.473 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5208 2.604 -3.37456 379.475 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5209 2.6045 -3.38773 379.478 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5210 2.605 -3.40108 379.481 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5211 2.6055 -3.41465 379.484 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5212 2.606 -3.4284 379.486 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5213 2.6065 -3.44234 379.489 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5214 2.607 -3.45647 379.492 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5215 2.6075 -3.47078 379.495 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5216 2.608 -3.48525 379.497 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5217 2.6085 -3.49992 379.5 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
