# Time-averaged data for fix logH
# TimeStep v_H v_pressVar
77800 3.69462e+08 1979.03
77900 3.74684e+08 2007.01
78000 3.76725e+08 2017.96
78100 3.61006e+08 1933.79
78200 3.68536e+08 1974.13
78300 3.5922e+08 1924.25
78400 3.88886e+08 2083.15
78500 3.8671e+08 2071.51
78600 3.90063e+08 2089.48
78700 3.77792e+08 2023.78
78800 3.87137e+08 2073.85
78900 3.74286e+08 2005.03
79000 3.77884e+08 2024.31
79100 3.96076e+08 2121.77
79200 3.94444e+08 2113.05
79300 4.08212e+08 2186.81
79400 3.98821e+08 2136.52
79500 3.74645e+08 2007.04
79600 4.12487e+08 2209.76
79700 4.21584e+08 2258.5
79800 4.00729e+08 2146.81
79900 3.97154e+08 2127.67
80000 4.0429e+08 2165.91
80100 3.96639e+08 2124.95
80200 4.1826e+08 2240.78
80300 4.32455e+08 2316.83
80400 4.28814e+08 2297.35
80500 4.06506e+08 2177.87
80600 4.23236e+08 2267.51
80700 4.40209e+08 2358.45
80800 4.28709e+08 2296.86
80900 4.34534e+08 2328.08
81000 4.45557e+08 2387.15
81100 4.4429e+08 2380.38
81200 4.52207e+08 2422.81
81300 4.53186e+08 2428.08
81400 4.25819e+08 2281.49
81500 4.51341e+08 2418.23
81600 4.65464e+08 2493.91
81700 4.97578e+08 2665.98
81800 4.56513e+08 2446
81900 4.55311e+08 2439.58
82000 4.58833e+08 2458.47
82100 4.46904e+08 2394.58
82200 4.79588e+08 2569.71
82300 5.00902e+08 2683.92
82400 4.73209e+08 2535.57
82500 4.51249e+08 2417.94
82600 4.7231e+08 2530.8
82700 4.89553e+08 2623.2
82800 4.9815e+08 2669.29
82900 4.99039e+08 2674.07
83000 4.95028e+08 2652.6
83100 4.67722e+08 2506.33
83200 4.75718e+08 2549.19
83300 5.08149e+08 2722.98
83400 5.17514e+08 2773.18
83500 5.05928e+08 2711.12
83600 4.76446e+08 2553.18
83700 4.65581e+08 2494.99
83800 5.23245e+08 2803.98
83900 5.15249e+08 2761.16
84000 5.30391e+08 2842.32
84100 5.23504e+08 2805.44
84200 4.99584e+08 2677.3
84300 5.02899e+08 2695.09
84400 5.15789e+08 2764.18
84500 5.21168e+08 2793.03
84600 5.45442e+08 2923.12
84700 5.25997e+08 2818.96
84800 5.47294e+08 2933.1
84900 5.44292e+08 2917.04
85000 5.23207e+08 2804.08
85100 5.35387e+08 2869.38
85200 5.43408e+08 2912.38
