# Time-averaged data for fix log
# TimeStep v_P v_V v_E
130400 5.38117 5686.53 0.0122938
130600 5.38778 5695.49 0.0121869
130800 5.44624 5700.45 0.0122325
131000 5.41118 5701.87 0.0122678
131200 5.45443 5699.63 0.012377
131400 5.4568 5694.16 0.0124764
131600 5.47439 5685 0.0124199
131800 5.61919 5673.05 0.0127435
132000 5.60982 5660.7 0.012608
132200 5.86577 5650.2 0.0129375
132400 5.7211 5644.66 0.0129432
132600 5.79218 5643.53 0.0130037
132800 5.64399 5645.92 0.0127421
133000 5.76291 5648.81 0.0127264
133200 5.68559 5652.59 0.0125802
133400 5.72546 5657.72 0.0125575
133600 5.70506 5664.38 0.0127315
133800 5.4975 5670.11 0.0123808
134000 5.51053 5670.95 0.0125382
134200 5.53973 5665.46 0.012539
134400 5.74767 5654.62 0.0128273
134600 5.86729 5643.63 0.0129227
134800 5.97794 5637.26 0.0129335
135000 5.87182 5636.51 0.013033
135200 5.78978 5638.64 0.0131045
135400 5.76436 5641.79 0.0128656
135600 5.65578 5643.66 0.0128148
135800 5.73838 5642.93 0.0128099
136000 5.8324 5640.47 0.0127748
136200 5.86222 5637.04 0.0130274
136400 5.94151 5634.93 0.0130403
136600 5.83863 5634.07 0.0130601
136800 5.90106 5633.79 0.0131085
137000 5.82256 5633.28 0.0130242
137200 5.96933 5632.42 0.013178
137400 5.99336 5633.22 0.0133109
137600 5.85662 5635.99 0.0130184
137800 5.83734 5638.59 0.0130236
138000 5.79148 5639.61 0.0130368
138200 5.74804 5637.92 0.0128408
138400 5.83804 5632.89 0.0128523
138600 5.9491 5625.37 0.0129984
138800 5.91309 5617.2 0.0132309
139000 5.91602 5610.16 0.0132167
139200 6.01369 5603.65 0.0134322
139400 5.96051 5598.47 0.0132277
139600 6.09817 5594.54 0.0133447
139800 6.10678 5592.54 0.0134944
140000 6.18272 5594.05 0.0134757
140200 6.18429 5600.45 0.0135108
140400 6.04194 5610.82 0.0132422
140600 5.88318 5621.13 0.0129176
140800 5.75665 5626.58 0.0130424
141000 5.8385 5624.34 0.0128863
141200 6.04445 5615.34 0.013284
141400 6.16428 5605 0.0135359
141600 6.29345 5597.28 0.0137231
141800 6.16465 5594.14 0.0136246
142000 6.15697 5594.34 0.0135738
142200 6.13769 5596.68 0.0133405
142400 6.10226 5598.73 0.013368
142600 6.07143 5599.24 0.013282
142800 6.10776 5598.4 0.0135034
143000 6.20449 5597.3 0.0133437
143200 6.09084 5597.27 0.0134788
143400 6.08699 5597.08 0.0135135
143600 6.07106 5594.77 0.0134213
143800 6.10185 5590.25 0.0135849
144000 6.17068 5585.24 0.0137557
144200 6.2946 5581.15 0.0136669
144400 6.29491 5578.46 0.013793
144600 6.19804 5576.33 0.0137624
144800 6.2275 5573.68 0.0137982
145000 6.28566 5571.37 0.0137892
145200 6.34885 5571.08 0.0136452
145400 6.29806 5572.6 0.0138011
145600 6.22973 5574.79 0.0136008
145800 6.13957 5575.58 0.0137677
146000 6.23345 5573.52 0.0137954
146200 6.21889 5569.53 0.0135228
146400 6.39494 5564.78 0.0138331
146600 6.43228 5561.06 0.0138268
146800 6.36437 5559.12 0.0139197
147000 6.31555 5557.71 0.0137806
147200 6.36244 5555.27 0.0138539
147400 6.41503 5552.27 0.0138239
147600 6.361 5549.68 0.0140163
147800 6.45459 5548.93 0.0138461
148000 6.41529 5550.04 0.0138504
148200 6.47881 5552.21 0.0139126
148400 6.41966 5554.81 0.0139942
148600 6.43962 5557.7 0.0138896
148800 6.44089 5561.86 0.0140889
149000 6.49679 5567.07 0.0139774
149200 6.34259 5571.74 0.0137649
149400 6.24982 5572.03 0.0138455
149600 6.33716 5566.88 0.0137347
149800 6.45701 5556.67 0.0138378
150000 6.65874 5544.99 0.0140508
150200 6.67708 5535.51 0.0142977
150400 6.64892 5531.12 0.0143339
150600 6.65897 5530.21 0.0143068
150800 6.55642 5531.66 0.0142074
151000 6.51607 5534.48 0.0142339
151200 6.48653 5537.29 0.0142854
151400 6.64012 5540.12 0.0141926
151600 6.60286 5543.09 0.0139928
151800 6.47006 5545.06 0.0140765
152000 6.51855 5544.36 0.0140691
152200 6.5464 5539.91 0.0142397
152400 6.65449 5533.37 0.0142211
152600 6.7218 5527.43 0.0142886
152800 6.74111 5524.05 0.0142956
153000 6.59584 5522.93 0.0142385
153200 6.68352 5521.68 0.0144334
153400 6.6646 5520.61 0.0142399
153600 6.7561 5519.37 0.0144968
153800 6.74522 5519 0.0142982
154000 6.79905 5519.86 0.0144064
154200 6.8235 5523 0.0145229
154400 6.64695 5528.04 0.0143016
154600 6.63116 5533.1 0.0142421
154800 6.45829 5535.03 0.0141571
155000 6.59642 5531.01 0.0143273
155200 6.66838 5522.06 0.0142314
155400 6.80196 5509.96 0.0145374
155600 6.90627 5498.94 0.0146769
155800 6.98718 5492.24 0.014866
156000 7.03393 5490.96 0.014876
156200 7.0298 5495.44 0.0147356
156400 6.8779 5503.61 0.0147597
156600 6.69384 5512.97 0.0143732
156800 6.65078 5520.73 0.0144872
157000 6.76634 5525.02 0.0145001
157200 6.67145 5525.26 0.0144414
157400 6.68865 5521.3 0.0143237
157600 6.70585 5512.83 0.0144652
157800 6.77341 5500.29 0.0145199
158000 7.01442 5485.38 0.014844
158200 7.04679 5472.52 0.0149427
158400 7.10891 5464.68 0.0151303
158600 7.20517 5462.85 0.0152239
158800 7.0827 5466.38 0.0150163
159000 6.95929 5473.82 0.0148761
159200 6.84943 5482.7 0.0147509
159400 6.83069 5490.47 0.0146444
159600 6.80926 5495.19 0.0148088
159800 6.86112 5497.01 0.0145714
160000 6.9261 5496 0.0148239
160200 6.95648 5493.27 0.0147026
160400 7.0258 5489.69 0.0149042
160600 7.03808 5485.89 0.0148707
160800 6.95718 5480.22 0.0149874
161000 7.18738 5471.98 0.0150902
161200 7.26134 5464.98 0.0153199
161400 7.26409 5462.33 0.0153505
161600 7.25753 5465.98 0.0151823
161800 7.07477 5473.69 0.0149762
162000 6.83166 5479.81 0.0147701
162200 6.82965 5479.53 0.0147267
162400 7.02546 5473.23 0.0149934
162600 7.29364 5465.04 0.0152255
162800 7.37672 5460.02 0.0151532
163000 7.42559 5459.6 0.0154488
163200 7.01459 5463.17 0.0150203
163400 7.04248 5466.09 0.0149776
163600 7.05821 5465.48 0.0150179
163800 7.12748 5461.88 0.015267
164000 7.26182 5458.1 0.0154314
164200 7.32831 5456.6 0.0154872
164400 7.24196 5458.07 0.0152195
164600 7.1951 5461.09 0.0152778
164800 7.11387 5463.1 0.0151046
165000 7.16324 5461.34 0.0151839
165200 7.2541 5456.52 0.0153778
165400 7.44071 5451.21 0.0153764
